atomic_task_id,site_id,independent_min_access_margin_db,independent_backhaul_margin_db,independent_total_energy_kwh,independent_energy_margin_kwh
P01_G000_E52_A000,E52_4513f74e4ba51c209cccc792,7.528195666308719,9.790974506635663,0.674647275675711,1.8853527243242896
P01_G001_E52_A000,E52_bfffb2993ede6e2e2bd9340b,1.9124442496521539,13.053008949478723,0.25253821628138834,2.307461783718612
P01_G001_E52_A000,E52_50c718ca7f326f764494c89d,1.9034872651250652,13.080943299176411,0.23475609629682048,2.3252439037031802
P01_G001_E52_A000,E52_b6789310c1ab16898a769b78,1.6723371312954924,2.625622464396969,0.24626953431601173,2.3137304656839888
P01_G002_E52_A000,E52_c10a50247c57c0340b451298,23.058866510073486,3.1495087650690863,0.3580416668285667,2.201958333171434
P01_G003_E52_A000,E52_7ccd1e182a1b2540fd645bfb,17.826951235448703,2.4191590009326376,0.43885975245245995,2.1211402475475407
P01_G004_E52_A000,E52_96da4f081c74d8211b4b244f,6.937264214523168,12.47027426673894,0.46737496549684443,2.092625034503156
P01_G005_E52_A000,E52_beb70ec57fd2d66bf65b827f,13.06551082853818,2.43785423226241,0.37639792909483893,2.1836020709051613
P01_G006_E52_A000,E52_4d215302190bc5bfb29bf912,9.713639065507849,16.37371485667674,0.2861227190741796,2.273877280925821
P01_G007_E52_A000,E52_1ef47ef68c1879e18ddbb164,1.8109249337023954,9.684707827919368,0.6098389474929489,1.9501610525070516
P01_G008_E52_A000,E52_dd12fb0cc4aee52816704b73,9.266012342456989,0.5498680641518376,0.5712651464874847,1.9887348535125158
P01_G009_E52_A000,E52_b677873645e212a13901ede2,1.2512697614083237,9.230718628911887,0.534115568459929,2.0258844315400717
P01_G010_E52_A000,E52_b8aeee13ee5f313ffdb298e7,8.471019933434604,0.32052137756616617,0.49818763603442784,2.0618123639655725
P01_G010_E52_A000,E52_60b0dc656c777ee2cc2279b1,8.341150270762157,0.21315146591224732,0.5039931993246265,2.056006800675374
P01_G011_E52_A000,E52_a77602565c04dca5831f9b7a,7.81446751050494,15.758600383852013,0.34212460030652936,2.217875399693471
P01_G011_E52_A000,E52_c76d93c5902d0dc017f7065c,7.454794546037789,16.05706218628906,0.32795592778456367,2.232044072215437
P01_G012_E52_A000,E52_06eb0baa948af7ff52881bcf,6.231702511254468,16.258674653736037,0.17830614589621915,2.3816938541037813
P01_G012_E52_A000,E52_74b3fb0a4920873efc33101b,5.991923300187651,6.525083879148042,0.16463728629135688,2.3953627137086437
P01_G012_E52_A000,E52_47db2d0d55c92154c779a4c9,5.962940531927728,16.45726286038159,0.1824194062759248,2.3775805937240757
P01_G013_E52_A000,E52_b6789310c1ab16898a769b78,15.706200065217104,2.625622464396969,0.3527970759398278,2.207202924060173
P01_G014_E52_A000,E52_d22cbe82615c6d2ee0ebf49f,7.864233650677548,15.758568264926964,0.18927267955207663,2.370727320447924
P01_G014_E52_A000,E52_ea76d341ab82f2ebc1fa1efe,7.601570141040625,6.056283714240493,0.17228077733185113,2.3877192226681494
P01_G014_E52_A000,E52_de2c36302e014a6d0284c896,7.557781310666783,15.994052628622484,0.190062897316419,2.3699371026835814
P01_G015_E52_A000,E52_96da4f081c74d8211b4b244f,6.937264214523168,12.47027426673894,0.5287638395507994,2.0312361604492013
P01_G016_E52_A000,E52_c117f06f984d58b2275e6c48,9.501200509022283,0.365836005255062,0.6162442567526161,1.9437557432473844
P01_G017_E52_A000,E52_e0cd6bab1a22c4530d9a254c,0.9640367798385512,6.471069764274475,0.2863193061531414,2.2736806938468592
P01_G017_E52_A000,E52_afb1e3673ff3adbe9c45b8fc,0.7145260575741048,6.956106286850726,0.2797547929493042,2.2802452070506964
P01_G017_E52_A000,E52_f2fabdd802684ffd17ed2273,0.6936377613534717,16.925225818485302,0.2886458529415882,2.271354147058412
P01_G018_E52_A000,E52_b677873645e212a13901ede2,1.2512697614083237,9.230718628911887,0.577603211186121,1.9823967888138796
P01_G019_E52_A000,E52_b60e4d2a4cdcd5801a5d757f,7.482025772350141,16.480566458341656,0.18075848093129088,2.3792415190687097
P01_G019_E52_A000,E52_326bd9096774308657b14836,7.2143663517743875,6.820761438549596,0.1597785564766822,2.4002214435233182
P01_G019_E52_A000,E52_c0294c7ff44d44fc4ede8d97,7.161390638552078,16.7256600789149,0.18200620645739207,2.3779937935426085
P01_G020_E52_A000,E52_515a3b7c8d98426ee13f2b4e,7.786538932173912,17.07508762021844,0.31367095305570564,2.246329046944295
P01_G020_E52_A000,E52_4cf0fac9feb721651efb2830,6.998212924039663,17.82597875173802,0.309202658512013,2.2507973414879876
P01_G021_E52_A000,E52_73baea82bbbffa2db9d7426a,7.930725203801643,5.711384152670419,0.18240108538929242,2.377598914610708
P01_G021_E52_A000,E52_e0325aad0b87e7c07e10fc2c,7.650664883183566,5.987785159048158,0.17238731235244248,2.387612687647558
P01_G021_E52_A000,E52_27bf01e9e990859ae5993708,7.615172407993995,15.932490639468014,0.1881622364717113,2.3718377635282892
