site_id,x_m,y_m,agl_m,lon,lat,ground_elevation_m,z_amsl_m,backhaul_distance_m,backhaul_los,backhaul_margin_db
E52_f42b45f4e770ee0d082ab160,318547.3914705063,2547232.128837987,100.0,109.22930018514816,23.023627031568626,146.31304931640625,246.31304931640625,1684.6167526014397,True,21.41575286175869
E52_0e1ec341169edfea1b0fe674,318547.3914705063,2547232.128837987,150.0,109.22930018514816,23.023627031568626,146.31304931640625,296.31304931640625,1688.2816435882553,True,21.396877196123086
E52_8c264d2e9185f94a6a29ba68,318547.3914705063,2547232.128837987,200.0,109.22930018514816,23.023627031568626,146.31304931640625,346.31304931640625,1693.4155464648072,True,21.370504315554214
E52_60462558a64b66657d7c542a,318547.3914705063,2547232.128837987,250.0,109.22930018514816,23.023627031568626,146.31304931640625,396.31304931640625,1700.005152327587,True,21.336770413213586
E52_551a43097611cfccacfe6c53,318547.3914705063,2547232.128837987,300.0,109.22930018514816,23.023627031568626,146.31304931640625,446.31304931640625,1708.0336129221762,True,21.29584690471539
E52_9a5dc1917a30afbdeab29bc8,318667.3914705063,2547112.128837987,50.0,109.23048491408579,23.02255663665683,186.52684020996094,236.52684020996094,1558.6364022738949,True,22.09087886459585
E52_c22aec846e3ec22d79c6b9cb,318667.3914705063,2547112.128837987,100.0,109.23048491408579,23.02255663665683,186.52684020996094,286.52684020996094,1562.2836229424884,True,22.070577562173014
E52_935228e1fd4c8a4fbd065fee,318667.3914705063,2547112.128837987,150.0,109.23048491408579,23.02255663665683,186.52684020996094,336.52684020996094,1567.5180389824236,True,22.041524218003744
E52_20407a833abda5508a7ed2a6,318667.3914705063,2547112.128837987,200.0,109.23048491408579,23.02255663665683,186.52684020996094,386.52684020996094,1574.3238188366138,True,22.003893842032724
E52_bc7bd50e10e647b0f428efb4,318667.3914705063,2547112.128837987,250.0,109.23048491408579,23.02255663665683,186.52684020996094,436.52684020996094,1582.6806912884529,True,21.957909085821782
E52_ebee5679d24294a0781de1eb,318667.3914705063,2547112.128837987,300.0,109.23048491408579,23.02255663665683,186.52684020996094,486.52684020996094,1592.564238766616,True,21.90383597853453
E52_15e4e69ec241be908dd7d143,318667.3914705063,2547232.128837987,50.0,109.23047077031575,23.023640127726804,205.80592346191406,255.80592346191406,1679.5778055413493,True,21.44177262371356
E52_f155f163d5be8795b5e66f78,318044.6860098525,2548675.933669849,50.0,109.2242255404053,23.03660826683217,201.17930603027344,251.17930603027344,3186.748605712798,False,5.8788190764502986
E52_1fd95e3aab09dab84088ef07,318044.6860098525,2548675.933669849,100.0,109.2242255404053,23.03660826683217,201.17930603027344,301.17930603027344,3188.7638053978676,False,5.873328128737427
E52_15294f797d9d92b545cc3c42,318044.6860098525,2548675.933669849,150.0,109.2242255404053,23.03660826683217,201.17930603027344,351.17930603027344,3191.561144208037,True,15.865711783822661
E52_697c204e62efa74aeeb152c6,318044.6860098525,2548675.933669849,200.0,109.2242255404053,23.03660826683217,201.17930603027344,401.17930603027344,3195.138567859232,True,15.85598121508653
E52_12b0c988bf3c3300aa33b178,318044.6860098525,2548675.933669849,250.0,109.2242255404053,23.03660826683217,201.17930603027344,451.17930603027344,3199.4934596627277,True,15.844150631160545
E52_8fdfb8ae9932abece3f1732b,318044.6860098525,2548675.933669849,300.0,109.2242255404053,23.03660826683217,201.17930603027344,501.17930603027344,3204.6226500209973,True,15.830237207310091
E52_b09ee4e1bf460213470e1616,318044.6860098525,2548795.933669849,50.0,109.22421133695633,23.037691752298855,254.64210510253906,304.64210510253906,3306.4240775291914,False,5.558604069024625
E52_273b6f1e6be5102a9f897083,318044.6860098525,2548795.933669849,100.0,109.22421133695633,23.037691752298855,254.64210510253906,354.64210510253906,3309.1742763074626,True,15.551382371705884
E52_57de3ccf430e727499f4fe45,318044.6860098525,2548795.933669849,150.0,109.22421133695633,23.037691752298855,254.64210510253906,404.64210510253906,3312.6769539883107,True,15.542193438414287
E52_4b3bb4b893284fe57d7ef46b,318044.6860098525,2548795.933669849,200.0,109.22421133695633,23.037691752298855,254.64210510253906,454.64210510253906,3316.9297267195043,True,15.531049754800833
E52_65161f4aaff362676638552b,318044.6860098525,2548795.933669849,250.0,109.22421133695633,23.037691752298855,254.64210510253906,504.64210510253906,3321.92971366129,True,15.51796638005267
E52_87999758fadf46047bcd1896,318044.6860098525,2548795.933669849,300.0,109.22421133695633,23.037691752298855,254.64210510253906,554.6421051025391,3327.673546641262,True,15.50296087977884
E52_50c718ca7f326f764494c89d,319247.01344372646,2549912.941957309,100.0,109.2358097356654,23.04790860476329,259.714599609375,359.714599609375,4397.861957134857,True,13.080943299176411
E52_fb24c017b8650f6f86970239,319247.01344372646,2549912.941957309,150.0,109.2358097356654,23.04790860476329,259.714599609375,409.714599609375,4400.555789212878,True,13.075624540840806
E52_89885f2caab4ea3db77ec5b0,319247.01344372646,2549912.941957309,200.0,109.2358097356654,23.04790860476329,259.714599609375,459.714599609375,4403.815699360716,True,13.069192458526956
E52_9793668c8da9233df4f89829,319247.01344372646,2549912.941957309,250.0,109.2358097356654,23.04790860476329,259.714599609375,509.714599609375,4407.640431557099,True,13.061652001343546
E52_bfffb2993ede6e2e2bd9340b,319247.01344372646,2549912.941957309,300.0,109.2358097356654,23.04790860476329,259.714599609375,559.714599609375,4412.028516890818,True,13.053008949478723
E52_9b907463a551fc623dbb68ac,319247.01344372646,2550032.941957309,50.0,109.23579561712107,23.048992095485634,281.40472412109375,331.40472412109375,4515.530939446228,False,2.851598719443757
E52_1554dcc75a097d7556835241,319247.01344372646,2550032.941957309,100.0,109.23579561712107,23.048992095485634,281.40472412109375,381.40472412109375,4517.841313891873,True,12.84715571469819
E52_56f24c6e1828dbbe8cce6c68,319247.01344372646,2550032.941957309,150.0,109.23579561712107,23.048992095485634,281.40472412109375,431.40472412109375,4520.7035525369665,True,12.841654588092638
E52_d1b6302538e089f4f9e9527c,319247.01344372646,2550032.941957309,200.0,109.23579561712107,23.048992095485634,281.40472412109375,481.40472412109375,4524.116607950381,True,12.835099361226739
E52_8aaf9d189bb37f3af72ba9b4,319247.01344372646,2550032.941957309,250.0,109.23579561712107,23.048992095485634,281.40472412109375,531.4047241210938,4528.079234592144,True,12.827494810798427
E52_b9a66ebb4970b1c85aa74765,319247.01344372646,2550032.941957309,300.0,109.23579561712107,23.048992095485634,281.40472412109375,581.4047241210938,4532.589991070964,True,12.818846457079687
