rho,kind,uav_type,service_id,payload_limit_kg,binding_constraint,roundtrip_energy_kwh,energy_margin_kwh,return_soc,n_flights,total_energy_kwh,total_time_s
0.1,max_payload,A,S001,25.0,mass,1.2761760492568546,2.7738239507431453,0.7164053223873657,,,
0.1,max_payload,A,S002,25.0,mass,3.0476335175061253,1.0023664824938745,0.322748107220861,,,
0.1,max_payload,A,S003,25.0,mass,3.049832965158003,1.0001670348419966,0.3222593410759993,,,
0.1,max_payload,A,S004,25.0,mass,3.1982053985799093,0.8517946014200906,0.28928768920446457,,,
0.1,max_payload,A,S005,25.0,mass,2.1937267670764857,1.856273232923514,0.5125051628718921,,,
0.1,max_payload,A,S006,25.0,mass,1.3418941370111828,2.708105862988817,0.7018013028864039,,,
0.1,max_payload,A,S007,25.0,mass,1.9272454202432514,2.1227545797567484,0.5717232399459442,,,
0.1,max_payload,A,S008,25.0,mass,3.3317355700588602,0.7182644299411396,0.2596143177646977,,,
0.1,max_payload,A,S009,25.0,mass,2.350108563370547,1.6998914366294526,0.4777536525843229,,,
0.1,max_payload,A,S010,25.0,mass,2.006626652094557,2.043373347905443,0.5540829662012097,,,
0.1,max_payload,A,S011,25.0,mass,1.179299427228862,2.870700572771138,0.7379334606158084,,,
0.1,max_payload,A,S012,25.0,mass,3.0643705417123828,0.985629458287617,0.3190287685083594,,,
0.1,max_payload,A,S013,25.0,mass,2.020456567455234,2.0295434325447657,0.5510096516766146,,,
0.1,max_payload,A,S014,25.0,mass,2.3145078640125383,1.7354921359874615,0.4856649191083249,,,
0.1,max_payload,A,S015,25.0,mass,2.529641495271567,1.5203585047284327,0.43785744549520733,,,
0.1,max_payload,B,S001,30.0,mass,1.238218553719263,2.3617814462807374,0.6904453615701842,,,
0.1,max_payload,B,S002,30.0,mass,2.9567618201954327,0.6432381798045674,0.26080954495114184,,,
0.1,max_payload,B,S003,30.0,mass,2.95954730384833,0.6404526961516699,0.26011317403791745,,,
0.1,max_payload,B,S004,30.0,mass,3.1028600094165277,0.49713999058347236,0.22428499764586807,,,
0.1,max_payload,B,S005,30.0,mass,2.1283159888281373,1.4716840111718628,0.46792100279296567,,,
0.1,max_payload,B,S006,30.0,mass,1.3027008910367859,2.297299108963214,0.6743247772408035,,,
0.1,max_payload,B,S007,30.0,mass,1.8706796362810247,1.7293203637189754,0.5323300909297438,,,
0.1,max_payload,B,S008,30.0,mass,3.2326316652202878,0.3673683347797123,0.19184208369492806,,,
0.1,max_payload,B,S009,30.0,mass,2.2802116924624443,1.3197883075375558,0.42994707688438893,,,
0.1,max_payload,B,S010,30.0,mass,1.947705340276292,1.652294659723708,0.513073664930927,,,
0.1,max_payload,B,S011,30.0,mass,1.1444043127655745,2.4555956872344256,0.7138989218086064,,,
0.1,max_payload,B,S012,30.0,mass,2.9733294218839994,0.6266705781160007,0.25666764452900015,,,
0.1,max_payload,B,S013,30.0,mass,1.9611251412900748,1.6388748587099253,0.5097187146774813,,,
0.1,max_payload,B,S014,30.0,mass,2.246335910659495,1.353664089340505,0.4384160223351262,,,
0.1,max_payload,B,S015,30.0,mass,2.455724263918715,1.1442757360812852,0.3860689340203213,,,
0.1,max_payload,C,S001,80.0,mass,3.030626023934511,4.169373976065489,0.6211717470081861,,,
0.1,max_payload,C,S002,79.18297344121193,energy,7.200000000000999,-9.992007221626409e-13,0.09999999999987508,,,
0.1,max_payload,C,S003,79.70885871788106,energy,7.200000000000996,-9.956480084838404e-13,0.09999999999987552,,,
0.1,max_payload,C,S004,75.90760095050626,energy,7.200000000000998,-9.974243653232406e-13,0.0999999999998753,,,
0.1,max_payload,C,S005,80.0,mass,5.221678325034157,1.9783216749658434,0.3472902093707304,,,
0.1,max_payload,C,S006,80.0,mass,3.1816744252259195,4.018325574774081,0.6022906968467601,,,
