sortie_id,shift_s
M001,2436.1111453370804
M002,-2107.8120286387084
M003,2109.094050134566
M004,2042.8753001345658
M005,1452.1403848322418
M006,-1494.1704018789649
M007,-116.05979684882277
M008,1173.8153320283207
M009,2972.728332626023
M010,782.0769808072864
M011,-1081.8750447495675
M012,1922.734556970083
M013,-0.0
M014,-1089.3465666760128
M015,2440.466573673639
M016,2040.8440501345658
M017,616.5963925058811
M018,-101.88878773996862
M019,-1558.6853326736384
M020,-1313.4852765969829
M021,-182.96399722963315
M022,-1207.276922821857
M023,2115.219050134566
M024,-1387.095290292945
M025,1297.9485244426896
