battery_id,sortie_id,takeoff_s,return_s,return_soc,energy_ready_s,charge_duration_s
BAT-A-01,M001,360.0,1250.9011452645589,0.7150389759477327,2121.3504765325065,870.4493312679475
BAT-A-02,M002,360.0,1250.9011452645589,0.7150389759477327,2121.3504765325065,870.4493312679475
BAT-A-03,M003,360.0,1250.9011452645589,0.7150389759477327,2121.3504765325065,870.4493312679475
BAT-B-04,M004,2311.353424971385,3476.730327417724,0.5442135670880817,4933.426811131716,1456.696483713992
BAT-B-02,M005,390.0,1921.353423971385,0.31204944738877405,3780.4677151641763,1859.1142911927916
BAT-C-02,M006,510.0,1560.170391878965,0.6353055079653442,3183.675124620719,1623.5047327417542
BAT-C-01,M007,480.0,2107.812018638708,0.21490222160615335,4642.190538492043,2534.3785198533346
BAT-B-01,M008,390.0,1507.8256880077884,0.5440847874461384,2964.745389767815,1456.9197017600268
BAT-C-04,M009,2647.812019638708,4709.1327880212375,0.3279308415317631,6998.615964702418,2289.48317668118
BAT-B-03,M010,1897.8256890077882,3377.5778836268046,0.4649242488096277,4971.709185690117,1594.131302063312
BAT-C-03,M011,2040.1703928789648,3121.7299188193115,0.6752529517883454,4658.68185661123,1536.9519377919182
BAT-B-04,M012,5593.424263339635,7135.266570506679,0.3091418530572285,8999.42069187415,1864.1541213674705
BAT-C-01,M013,5189.132789021238,6586.32794721678,0.4722281495612677,8563.1669565007,1976.83900928392
BAT-B-01,M014,7737.901714191735,9353.22648971371,0.3953878965709813,11067.887468990677,1714.660979276966
BAT-C-02,M015,3631.7299198193114,5605.164031685688,0.2105042759120308,8149.071433876288,2543.9074021906
BAT-B-02,M016,3836.7303284177237,5233.424262339635,0.40969112384979123,6923.292980999997,1689.8687186603618
BAT-C-03,M017,6085.164032685689,7906.225099278852,0.23088787400035304,10405.968038944753,2499.7429396659018
BAT-B-01,M018,3767.577884626805,5339.420191793849,0.2561979088099089,7295.34381652334,1955.9236247294914
BAT-B-03,M019,5729.420192793849,6524.891845021336,0.7318116502132994,7656.418317984951,1131.5264729636144
BAT-B-03,M020,8102.394504843155,9270.836752237563,0.4759473657320945,10845.861318301932,1575.0245660643693
BAT-B-02,M021,6923.292981999997,7712.394503843155,0.7525325729370328,8808.004710752299,1095.610206909143
