node_id,node_name,node_type,longitude,latitude,ground_elevation_m,population,x_m,y_m,epsg_lonlat,epsg_plane,utm49n_valid
O01,凤丹村无人机调度中心,dispatch_center,109.2308517,23.0085095,127.7,,318686.2012849663,2545556.1393078705,4326,32649,True
S001,平旺、那龙、镇龙乡,service_area,109.2432319,23.0335927,154.0,2100.0,319988.599872737,2548318.4942659517,4326,32649,True
S002,上良,service_area,109.2585519,23.0703271,189.5,330.0,321607.1664922811,2552367.559439648,4326,32649,True
S003,六造、那旭、都长,service_area,109.1688578,23.0402714,308.5,275.0,312375.1586337376,2549151.507186076,4326,32649,True
S004,大站,service_area,109.2381714,23.0778414,198.3,188.0,319528.97595366306,2553224.6970819803,4326,32649,True
S005,上良、古律、那麓,service_area,109.2283003,23.0561338,165.0,126.0,318488.48309921037,2550833.078209432,4326,32649,True
S006,六昌、木路,service_area,109.1997836,23.007714,284.8,121.0,315500.3321695994,2545506.834640633,4326,32649,True
S007,佛子、那桑、银坑,service_area,109.1928191,23.0294186,318.5,76.0,314816.04690611176,2547919.1562834387,4326,32649,True
S008,古麻、大站,service_area,109.2127472,23.0795113,240.9,55.0,316926.3521472279,2553441.253417357,4326,32649,True
S009,那龙,service_area,109.2541424,23.0552989,200.0,45.0,321135.49177049473,2550708.7793274075,4326,32649,True
S010,镇龙乡,service_area,109.2760168,23.0194009,321.6,31.0,323330.1953724307,2546707.0166936666,4326,32649,True
S011,那从,service_area,109.2203356,23.0319231,182.1,30.0,317639.7049014466,2548161.952054749,4326,32649,True
S012,镇龙乡,service_area,109.2831357,23.054464,249.8,16.0,324105.4192386115,2550581.1568953637,4326,32649,True
S013,镇龙乡,service_area,109.2713839,23.0310882,321.7,14.0,322870.60295955674,2548006.8097309223,4326,32649,True
S014,镇龙乡,service_area,109.2835966,23.0052097,321.0,12.0,324088.70956645417,2545126.43549485,4326,32649,True
S015,六造、那托、那旭,service_area,109.1923786,23.0494548,444.5,3.0,314798.3027495933,2550138.497386535,4326,32649,True
