from_id,to_id,horizontal_distance_m,max_dem_elevation_m,planned_cruise_altitude_m,origin_operation_altitude_m,destination_operation_altitude_m,climb_height_m,descent_height_m
O01,S001,3053.9887026420406,223.05661010742188,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188
O01,S002,7411.3077087600395,258.9542541503906,308.9542541503906,127.7,219.5,181.25425415039064,89.45425415039062
O01,S003,7263.327717049588,501.4280090332031,551.4280090332031,127.7,338.5,423.72800903320314,212.92800903320312
O01,S004,7714.729254941889,348.2391662597656,398.2391662597656,127.7,228.3,270.53916625976564,169.9391662597656
O01,S005,5280.641689396252,276.410888671875,326.410888671875,127.7,195.0,198.710888671875,131.410888671875
O01,S006,3186.250613253772,316.09783935546875,366.09783935546875,127.7,314.8,238.39783935546876,51.29783935546874
O01,S007,4534.527995612143,451.8304748535156,501.8304748535156,127.7,348.5,374.13047485351564,153.33047485351562
O01,S008,8079.114648723534,322.9093322753906,372.9093322753906,127.7,270.9,245.20933227539064,102.00933227539065
O01,S009,5705.148819569393,243.22891235351562,293.2289123535156,127.7,230.0,165.52891235351564,63.228912353515625
O01,S010,4784.474876257699,385.63653564453125,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123
O01,S011,2808.0980667549748,243.34902954101562,293.3490295410156,127.7,212.1,165.64902954101564,81.24902954101563
O01,S012,7390.448226172106,362.35931396484375,412.35931396484375,127.7,279.8,284.65931396484376,132.55931396484374
O01,S013,4849.227041161927,347.3786926269531,397.3786926269531,127.7,351.7,269.67869262695314,45.678692626953136
O01,S014,5419.570194994184,541.9473876953125,591.9473876953125,127.7,351.0,464.2473876953125,240.9473876953125
O01,S015,6009.472571071346,520.8697509765625,570.8697509765625,127.7,474.5,443.1697509765625,96.3697509765625
S001,O01,3053.9887026420406,223.05661010742188,273.0566101074219,184.0,127.7,89.05661010742188,145.3566101074219
S001,S002,4360.583296158719,259.2448425292969,309.2448425292969,184.0,219.5,125.24484252929688,89.74484252929688
S001,S003,7658.877073356811,505.94439697265625,555.9443969726562,184.0,338.5,371.94439697265625,217.44439697265625
S001,S004,4927.685077091213,358.7777404785156,408.7777404785156,184.0,228.3,224.77774047851562,180.4777404785156
S001,S005,2928.051014415856,266.13800048828125,316.13800048828125,184.0,195.0,132.13800048828125,121.13800048828125
S001,S006,5296.222882741876,343.9356384277344,393.9356384277344,184.0,314.8,209.93563842773438,79.13563842773436
S001,S007,5187.945163243503,389.17535400390625,439.17535400390625,184.0,348.5,255.17535400390625,90.67535400390625
S001,S008,5968.2512058128505,315.542236328125,365.542236328125,184.0,270.9,181.542236328125,94.64223632812502
S001,S009,2651.1928824887373,243.22891235351562,293.2289123535156,184.0,230.0,109.22891235351562,63.228912353515625
S001,S010,3709.8679827660485,381.0796813964844,431.0796813964844,184.0,351.6,247.07968139648438,79.47968139648435
S001,S011,2354.1055732574746,226.38790893554688,276.3879089355469,184.0,212.1,92.38790893554688,64.28790893554688
S001,S012,4697.642373124702,385.599609375,435.599609375,184.0,279.8,251.599609375,155.799609375
S001,S013,2898.808210595373,328.3608093261719,378.3608093261719,184.0,351.7,194.36080932617188,26.660809326171886
S001,S014,5196.165768976583,542.6727294921875,592.6727294921875,184.0,351.0,408.6727294921875,241.6727294921875
S001,S015,5500.145051309657,547.315185546875,597.315185546875,184.0,474.5,413.315185546875,122.815185546875
S002,O01,7411.3077087600395,258.9542541503906,308.9542541503906,219.5,127.7,89.45425415039062,181.25425415039064
S002,S001,4360.583296158719,259.2448425292969,309.2448425292969,219.5,184.0,89.74484252929688,125.24484252929688
S002,S003,9776.142449755573,571.1314086914062,621.1314086914062,219.5,338.5,401.63140869140625,282.63140869140625
S002,S004,2248.0126451389237,283.658203125,333.658203125,219.5,228.3,114.158203125,105.35820312499999
S002,S005,3475.747222123636,356.79864501953125,406.79864501953125,219.5,195.0,187.29864501953125,211.79864501953125
S002,S006,9184.93169340433,342.2972106933594,392.2972106933594,219.5,314.8,172.79721069335938,77.49721069335936
S002,S007,8118.349331842345,424.7281799316406,474.7281799316406,219.5,348.5,255.22817993164062,126.22817993164062
