atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
P0002_M001_G00,P0002_M001_G00,P0002,M001,747.8125,1603.84375,856.03125,0.0,2.0
P0002_M002_G00,P0002_M002_G00,P0002,M002,4184.861478416422,4708.767728416422,523.90625,0.0,2.0
P0002_M003_G00,P0002_M003_G00,P0002,M003,2580.951651878965,3425.420401878965,844.46875,0.0,2.0
P0002_M004_G00,P0002_M004_G00,P0002,M004,2442.673691665009,3375.267441665009,932.59375,0.0,2.0
P0002_M005_G00,P0002_M005_G00,P0002,M005,5561.384438973203,6463.978188973203,902.59375,0.0,2.0
P0002_M007_G00,P0002_M007_G00,P0002,M007,3626.030092583708,4257.405092583708,631.375,0.0,2.0
P0002_M008_G00,P0002_M008_G00,P0002,M008,5774.80373581083,6306.99123581083,532.1875,0.0,2.0
P0002_M009_G00,P0002_M009_G00,P0002,M009,780.0625,1220.59375,440.53125,0.0,2.0
P0002_M011_G00,P0002_M011_G00,P0002,M011,4287.2572242289,4656.2572242289,369.0,0.0,2.0
P0002_M013_G00,P0002_M013_G00,P0002,M013,4852.901040939894,5461.682290939894,608.78125,0.0,2.0
P0002_M015_G00,P0002_M015_G00,P0002,M015,2301.720662446339,3102.720662446339,801.0,0.0,2.0
P0002_M016_G00,P0002_M016_G00,P0002,M016,4753.418978472128,4778.762728472128,25.34375,0.0,2.0
P0002_M016_G01,P0002_M016_G01,P0002,M016,4786.262728472128,5405.512728472128,619.25,0.0,2.0
P0002_M016_G02,P0002_M016_G02,P0002,M016,5413.043978472128,5438.387728472128,25.34375,0.0,2.0
P0002_M018_G00,P0002_M018_G00,P0002,M018,840.34375,1479.125,638.78125,0.0,2.0
P0002_M019_G00,P0002_M019_G00,P0002,M019,2776.4670444521557,3176.1545444521557,399.6875,0.0,2.0
P0002_M021_G00,P0002_M021_G00,P0002,M021,2344.201651878965,3249.826651878965,905.625,0.0,2.0
P0002_M023_G00,P0002_M023_G00,P0002,M023,3601.6863223084238,4420.936322308424,819.25,0.0,2.0
P0002_M024_G00,P0002_M024_G00,P0002,M024,5533.528639475468,6322.778639475468,789.25,0.0,2.0
P0002_M025_G00,P0002_M025_G00,P0002,M025,5877.930915893909,6277.618415893909,399.6875,0.0,2.0
P0002_M026_G00,P0002_M026_G00,P0002,M026,4485.9199305176735,5494.7636805176735,1008.84375,0.0,2.0
P0002_M027_G00,P0002_M027_G00,P0002,M027,4375.652377125794,5201.683627125794,826.03125,0.0,2.0
P0002_M028_G00,P0002_M028_G00,P0002,M028,753.6875,1171.15625,417.46875,0.0,2.0
P0002_M029_G00,P0002_M029_G00,P0002,M029,777.5,1176.5,399.0,0.0,2.0
